,Unnamed: 0,Unnamed: 0.1,user_ids,company_name,all_text,assist,balance_sc,benefit_sc,ca,contract,culture_sc,data,engineer,former_current,front,lead,management_sc,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,ny,other_states,overall_sc,research,security_sc,speacialist,support,test,wa,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,permanent,text_neg_score,text_neu_score,text_pos_score,num_neg_score,num_neu_score,num_pos_score,final_pbt_sc
0,0,0,cmp-review-5fc5f9277eb4150b,Google,I was a contractor so the only thing I would complain about was the apparent distinction between full time employees and contractors. But its understandable. Full time employees enjoyed the best benefits and perks on earth it seemed. But as a contractor it wasnt bad at all. Obviously the best contract job I ever worked.I mean its Google,1,5,5,0.0,1,5,0,1,1.0,0,0,5,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,5,0,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.038,0.705,0.257,0.0,0.0,1.0,0.6095
1,12,1,cmp-review-1eb301ee5c8e2f92,Google,"I appreciated my time at Google Fiber, however I did not apreciate the lack of Benefits that come with the job.

Healthcare is very sparse, and does not include dental or vision benefits.

The company does not offer any 401k matching and PTO is only accumulated after you have been with the company for a year or more.

The company culture is very robust and strong. Amenities are offered for employees and employee support is taken very seriously.Great Culture, Few Benifits",0,5,3,0.0,0,4,0,0,0.0,0,1,4,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,4,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.766,0.234,0.0,1.0,0.0,0.117
2,20,2,cmp-review-b1e4620c2e030452,Google,Great place in general to spend 40 hours a week. Free Gym and food. The layout is beautiful and the people are friendly. I learned a lot and enjoyed building lasting relationships with the people I worked closely with. The workplace culture is one of positivity. Its going to be hard leaving this contracted position because I do enjoy working here but the current wages aren't competitive enough. The best part of the job was management and the coworkers.Great place to work if you aren't stressed for money as a tvc.,0,5,3,1.0,1,5,0,0,0.0,0,0,4,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5,0,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.029,0.733,0.238,0.0,1.0,0.0,0.1045
3,28,4,cmp-review-9d86f74b5aefd303,Google,95% of google employees are contractors so not alot of benefits for working with the company other than the pay and being able to put them on your resume. The offices are really great place to hang out and the staff are friendly and relaxed though.Quite the Experience,0,5,5,1.0,1,5,0,0,1.0,0,1,5,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.062,0.749,0.188,0.0,0.0,1.0,0.563
4,36,5,cmp-review-2ca7ad3577938398,Google,Working at google has been a quite a journey. The management really cares about their workers and provide a lot of benefits. Daily task is tough to understand at the beginning.Good,0,5,5,1.0,0,5,0,0,0.0,1,0,5,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5,0,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.046,0.772,0.182,0.0,0.0,1.0,0.568
5,40,6,cmp-review-5397eeccd15fbe17,Google,"Working at Google gives you the opportunity to not only excel at your current role because of great management, but also gives you the opportunity to build on your resume and gain extensive knowledge that will help you in your future endeavours.Great Place to work and excel in your career",0,5,4,1.0,0,5,0,0,0.0,0,0,5,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.077,0.669,0.254,0.0,0.5,0.5,0.3385
6,44,7,cmp-review-580b5fdff32c85f2,Google,"I loved the people I worked with at Google, as well as the corporate culture. It takes time to get used to the day-to-day, but it's a great place to work if given the opportunity.A wonderful company to work at",0,5,5,1.0,0,5,0,0,1.0,1,0,3,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.692,0.308,0.0,0.0,1.0,0.654
7,48,8,cmp-review-cdfdaee74fc9d2cc,Google,Typical day included monitoring day to day test performance and investigating issues with those tests. It was enjoyable to code and do work. It involved working with very sociable and helpful coworkers.Relaxed and Sociable Workplace,0,5,3,1.0,0,5,0,1,1.0,0,0,3,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,4,0,3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.72,0.28,0.0,1.0,0.0,0.14
8,52,9,cmp-review-93a5eb5c753cd7c4,Google,"Very good especially if you work multiple jobs, this job is fulltime pay with part time hours work. M-F Weekends off, Very laid back especially if you come from customer service backgrounds.Good work place.",0,5,3,1.0,0,5,0,0,0.0,0,0,3,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,5,0,5,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.038,0.874,0.087,0.0,1.0,0.0,0.024499999999999997
9,56,10,cmp-review-efb15e0fbe78f454,Google,"Overall Great experience working with wonderful, intelligent people.Compensation could be better and advancement within specific roles is minimum.....Na",0,2,3,0.0,0,5,0,0,0.0,1,1,3,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,4,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,0.505,0.495,0.0,1.0,0.0,0.2475
